34
b	1
p	q
m	a
f	z
d	2
t	w
n	s
l	x
g	e
k	d
h	c
jue	rm,
que	fm,
xue	vm,
ju	rm
qu	fm
xu	vm
j	r
q	f
x	v
zhi	5
zh	5
chi	t
ch	t
shi	g
sh	g
ri	b
r	b
zi	y
ci	h
si	n
z	y
c	h
s	n
61
uang	j;
wang	j;
weng	j/
ying	u/
yong	m/
iong	m/
iang	u;
yang	u;
yuan	m0
ing	u/
iao	ul
yao	ul
yun	mp
iu	u.
you	u.
ian	u0
yan	u0
yin	up
ang	;
eng	/
yue	m,
uai	j9
wai	j9
ui	jo
wei	jo
uan	j0
wan	j0
un	jp
wen	jp
ong	j/
van	m0
er	-
ai	9
ei	o
ao	l
ou	.
an	0
en	p
yi	u
ia	u8
ya	u8
ie	u,
ye	u,
in	up
wu	j
ua	j8
wa	j8
uo	ji
wo	ji
yu	m
ve	m,
vn	mp
a	8
o	i
e	k
v	m
i	u
u	j
E	,
n	p
ng	/
